date,3200/车板价/呼伦贝尔,3200/车板价/赤峰,3200/车板价/通辽,3200/车板价/锡林郭勒,3600/车板价/呼伦贝尔,3600/车板价/赤峰,3600/车板价/通辽,3600/车板价/锡林郭勒,4000/车板价/赤峰,4500/坑口含税价/动力煤/鄂尔多斯（综合）,5000/坑口含税价/动力煤/鄂尔多斯（综合）,5500/坑口含税价/动力煤/鄂尔多斯（综合）,山西车板价/4500,山西车板价/5000,山西车板价/5500,山西车板价/5800,5000/沫煤/华东沿江电厂,5000/烟煤/华东沿江电厂,5500/沫煤/华东沿江电厂,6000/神华中块/华东沿江电厂,6000/神木块/华东沿江电厂,6500/神木末/华东沿江电厂,5000/包头,5500/乌海,全国/4500/出厂价,全国/4500/坑口价,全国/4500/平仓价,全国/4500/船板价,全国/4500/车板价,全国/5000/出厂价,全国/5000/场地价,全国/5000/坑口,全国/5000/坑口价,全国/5000/车板价,全国/5500/出厂价,全国/5500/场地价,全国/5500/坑口价,全国/5500/车板价,全国/5800/出厂价,全国/5800/场地价,全国/5800/坑口价,全国/5800/平仓价,全国/5800/船板价,全国/5800/车板价,15-20/上海,20-30/上海,30-40/上海,40-50/上海,50-60/上海,15-20/张家港,20-30/张家港,30-40/张家港,40-50/张家港,50-60/张家港,15-20/广州,20-30/广州,30-40/广州,40-50/广州,50-60/广州,鄂尔多斯动力煤坑口价格/4500,鄂尔多斯动力煤坑口价格/5000,鄂尔多斯动力煤坑口价格/5500,鄂尔多斯动力煤坑口价格/5800,广州港/4500,广州港/5000,广州港/5500,广州港/5800,宁波港/沫煤/5000_x,宁波港/沫煤/5500_x,宁波港/神华中块/6000_x,宁波港/神木末/6000,山西坑口/4500,山西坑口/5000,山西坑口/5500,山西坑口/5800,陕西坑口/4500/含税,陕西坑口/5000/不含,陕西坑口/5500/不含,陕西坑口/5500/含税,陕西坑口/5800/不含,陕西坑口/5800/含税,陕西地区/4500/坑口含税,陕西地区/5000/坑口含税,陕西地区/5500/坑口含税,陕西地区/5800/坑口含税,广州港/印尼煤/4300,广州港/印尼煤/4700,广州港/大混/5000,广州港/大混/5500,宁波港/沫煤/5000_y,宁波港/沫煤/5500_y,宁波港/神华中块/6000_y,神华/4500/其他,神华/4500/出厂不含税,神华/4500/出厂价,神华/4500/平仓价,神华/4500/车板价,神华/5000/其他,神华/5000/出厂价,神华/5000/坑口价,神华/5000/平仓价,神华/5000/车板价,神华/5500/其他,神华/5500/出厂价,神华/5800/其他,神华/5800/出厂价,神华/5800/车板价,鄂尔多斯公路综合/中途运输,鄂尔多斯公路综合/短途运输,鄂尔多斯公路综合/长途运输,鄂尔多斯公路分类运价/中途运输,鄂尔多斯公路分类运价/短途运输,鄂尔多斯公路分类运价/长途运输,鄂尔多斯公路分类单价/中途运输,鄂尔多斯公路分类单价/短途运输,鄂尔多斯公路分类单价/长途运输
2017/1/4,126,297,184,150,155,335,202,192,431,210,295,371,368.3333333,452.5,460,518.4615385,585.5714286,,656.2857143,683.2857143,,,390,425,420.5,412.5,,,508.3333333,690,,,480,527.5,480,,590,563.8333333,560,,575,,,670,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,220.1304348,299.875,359.3333333,402.7647059,430,695,735,910,585.5714286,656.2857143,683.2857143,,367.5,452.5,460,530,285,407.6666667,332,407,471.25,345,,425,437.5,463.9545455,595,635,745,835,649,751,778,590,,430,,555,,566,465,,,,610,510,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/1/11,126,297,184,150,155,335,202,192,431,210,293.5714286,368.8571429,364.047619,448.2142857,455.7142857,514.1758242,582.4285714,,651.1428571,678.1428571,,,390,425,420.2857143,420,,,508.1904762,690,,,480,523.2142857,480,,590,562.4047619,560,,575,,,667.8571429,1,1,1.428571429,2.428571429,1,1,1,1.428571429,2.428571429,1,1,1,1.428571429,2.428571429,1,220.1304348,299.875,359.3333333,402.7647059,430,695,735,866.6666667,582.4285714,651.1428571,678.1428571,,363.2142857,448.2142857,455.7142857,525.7142857,285,407.6666667,332,409.8571429,471.25,345,,427.1428571,435.3571429,485.5506494,595,635,745,835,649,751,778,590,,429.5714286,,555,,566,469.2857143,,,,610,512.1428571,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/1/18,126,297,184,150,155,335,202,192,431,210,288,368,358.3333333,423.2142857,440.7142857,492.6373626,580.7142857,,648.5714286,675.5714286,,,390,425,419.7857143,430,,,507.8571429,690,,,480,517.5,480,,590,559.0714286,560,,575,,,650,1.142857143,1,1,2.285714286,1,1.142857143,1,1,2.285714286,1,1.142857143,1,1,2.285714286,1,220.1304348,299.875,359.3333333,402.7647059,430,695,705,866.6666667,580.7142857,648.5714286,675.5714286,,357.5,423.2142857,440.7142857,502.0779221,285,407.6666667,332,415.2857143,471.25,345,,430,432.5,458.3,595,635,745,835,649,751,778,590,,428.5714286,,555,,566,483.5714286,,,,610,515,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/1/25,126,297,184,150,155,335,202,192,431,210,286,368,358.3333333,397.5,428.3333333,471.5384615,581,,649,676,,,390,425,419.5,430,,,507.6666667,690,,,480,517.5,480,,590,557.1666667,560,,575,,,630,1.285714286,1.571428571,1,1.857142857,1,1.285714286,1.571428571,1,1.857142857,1,1.285714286,1.571428571,1,1.857142857,1,220.1304348,299.875,359.3333333,402.7647059,430,695,705,866.6666667,581,649,676,,357.5,397.5,428.3333333,478.1818182,285,407.6666667,410.5714286,417,471.25,345,,430,432.5,458.3,595,635,745,835,649,751,778,590,,464.3214286,,555,,566,495,,,,610,515,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/2/1,126,297,184,150,155,335,202,192,431,210,286,368,358.3333333,397.5,428.3333333,471.5384615,580.1428571,,646.8571429,673.8571429,,,390,425,419.0714286,438.5714286,,,507.3809524,690,,,480,517.5,480,,590,557.1666667,560,,575,,,630,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,220.1304348,299.875,359.3333333,402.7647059,430,695,705,866.6666667,580.1428571,646.8571429,673.8571429,,357.5,397.5,428.3333333,478.1818182,285,407.6666667,442,417,471.25,345,,430,432.5,458.3,595,635,745,835,649,751,778,590,,475.5714286,,555,,566,495,,,,610,515,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/2/8,126,297,184,150,155,335,202,192,431,209,283.5714286,365.5714286,358.3333333,397.5,428.3333333,471.5384615,574.2857143,,638.4285714,665.4285714,,,390,425,417.2142857,450,,,506.1428571,683.5714286,,,480,517.5,480,,588.9285714,555.0238095,560,,575,,,627.8571429,1,1.285714286,1,2,1,1,1.285714286,1,2,1,1,1.285714286,1,2,1,220.1304348,299.875,359.3333333,402.7647059,441.4285714,621.3571429,712.8571429,917.1428571,574.2857143,638.4285714,665.4285714,,357.5,397.5,428.3333333,478.1818182,285,407.6666667,442,417,471.25,345,,430,432.5,458.1714286,595,635,745,835,649,751,778,585.7142857,,423.4285714,,553.5714286,,566,486.4285714,,,,610,515,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/2/15,126,297,184,150,155,335,202,192,431,209,283,365,358.3333333,397.5,428.3333333,471.5384615,574.5714286,,636.8571429,663.8571429,,,385.7142857,422.8571429,416.1428571,450,,,503.2857143,675,,,478.9285714,513.75,477.8571429,,587.5,551.0952381,560,,573.9285714,,,625,1,1.142857143,1,1.714285714,1,1,1.142857143,1,1.714285714,1,1,1.142857143,1,1.714285714,1,220.1304348,299.875,359.3333333,402.7647059,495.7142857,615.7142857,704.2857143,920,574.5714286,636.8571429,663.8571429,,357.5,397.5,428.3333333,478.1818182,285.3571429,409.5714286,442.2380952,417.7142857,471.25,345,,430,432.5,450.7593985,595,635,745,835,649,751,778,580,,421.2857143,,549.5238095,,566,466.4285714,,,,610,519.2857143,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/2/22,126,297,184,150,155,335,202,192,431,207.5714286,280.8571429,364.2857143,358.3333333,395.3571429,430.4761905,470.8791209,587.2857143,,650.7142857,677.7142857,,,380,420,420,450,,,503,675,,,477.5,508.75,475,,587.5,551.0952381,560,,572.5,,,620.7142857,1.142857143,1,1,2.142857143,1,1.142857143,1,1,2.142857143,1,1.142857143,1,1,2.142857143,1,220.1304348,299.875,359.3333333,402.7647059,530,613.3333333,700,920,587.2857143,650.7142857,677.7142857,,357.5,395.3571429,430.4761905,476.6233766,287.6428571,410.5714286,440.1904762,412.2857143,471.25,345,,430,432.5,441.3308271,595,635,745,835,649,751,778,580,,429,,546.6666667,,566,455,,,,610,525,643,,0.47,0.77,0.27,53.63636364,18.85,276.1428571,0.450909091,0.783,0.297428571
2017/3/1,126,297,184,150,155,335,202,192,431,206.5714286,280.2857143,364,358.3333333,392.5,433.3333333,470,603.1428571,,671.5714286,698.5714286,,,380,420,427.8571429,450,,,508.2380952,675,,,477.5,509.8214286,475,,587.5,560.8571429,560,,572.5,,,615,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,218.7303783,303.0089286,361,408.8403361,542.3214286,624.047619,700,900,603.1428571,671.5714286,698.5714286,,357.5,392.5,433.3333333,474.5454545,289.2142857,415.6666667,436.952381,408.5714286,471.25,345,,430,422.8571429,447.6058002,595,635,745,835,649,751,778,580,,466.3571429,,546.6666667,,566,463.5714286,,,,610,527.1428571,643,,0.464285714,0.768571429,0.278571429,54.80519481,18.50714286,264.4982993,0.45987013,0.772285714,0.28412585
2017/3/8,125.5714286,297,184,150,155.8571429,337.1428571,202,192,431.8571429,206,286.7142857,370.2857143,364.7619048,395.7142857,438.6904762,473.956044,631.4285714,,699.2857143,726.2857143,,,382.1428571,422.1428571,440.2857143,450,,,516.5238095,675,,,478.5714286,511.7857143,477.1428571,,586.4285714,575.9761905,560,,574.6428571,,,615,1,1,1,2.428571429,1,1,1,1,2.428571429,1,1,1,1,2.428571429,1,220.2756211,313.1071429,368.3716153,423.7815126,556.7142857,657.1428571,738.5714286,938.5714286,631.4285714,699.2857143,726.2857143,,363.9285714,395.7142857,438.6904762,478.3831169,286.8571429,416.6666667,435.2857143,415.1428571,471.25,345,,430,410,455.5786315,595,635,745,835,649,751,778,580,,469.5714286,,546.6666667,,566,483.5714286,,,,610,542.8571429,643,,0.47,0.768571429,0.265714286,56.20779221,18.35,247.999571,0.470649351,0.768285714,0.265388245
